Vernier Format 2
0.25_trial2.txt 10/26/2020 11:49:27
Run 1
Time		CO2
T		C
s		ppm

0		135
20		2985
40		5396
60		7620
80		9373
100		11032
120		12535
140		13725
160		14820
180		15917
200		17262
220		19329
240		20580
260		21677
280		22741
300		24181
320		26405
340		28502
360		29818
380		31258
400		32572
420		34607
440		36768
460		38364
480		41464
500		44094
520		46003
540		47602
560		49322
580		51201
600		53143
