Vernier Format 2
run3.1.txt 10/25/2020 11:51:36
Run 1
Time		CO2
T		C
s		ppm

0		135
20		511
40		856
60		1139
80		1482
100		1890
120		2296
140		2766
160		3517
180		4112
200		4801
220		5615
240		6397
260		7275
280		8120
300		9060
320		10281
340		11375
360		12316
380		13254
400		14225
420		15039
440		16010
460		17262
480		18797
500		20174
520		21271
540		22146
560		23180
580		24181
600		25278
