Vernier Format 2
0.1_trial2.txt 10/26/2020 12:29:50
Run 1
Time		CO2
T		C
s		ppm

0		481
20		4395
40		7650
60		10124
80		12096
100		13161
120		14162
140		15415
160		16542
180		17796
200		18827
220		20643
240		21803
260		23211
280		24807
300		25528
320		26686
340		27752
360		28847
380		29881
400		32135
420		33575
440		34796
460		36205
480		38677
500		41464
520		42561
540		44094
560		45973
580		48414
600		49292
