Vernier Format 2
run1.txt 10/24/2020 12:29:23
Run 1
Time		CO2
T		C
s		ppm

0		198
20		731
40		1263
60		2140
80		3237
100		4082
120		5083
140		6304
160		7713
180		8997
200		10281
220		11721
240		13035
260		14132
280		15352
300		16636
320		18608
340		20205
360		21271
380		22335
400		23243
420		24275
440		25558
460		27719
480		29943
500		31664
520		32604
540		33699
560		34889
580		36110
600		37270
