Vernier Format 2
0.5_trial2.txt 10/26/2020 11:18:37
Run 1
Time		CO2
T		C
s		ppm

0		135
20		3267
40		6117
60		8778
80		10530
100		12003
120		13035
140		13630
160		14257
180		15259
200		16073
220		17357
240		18921
260		20237
280		21238
300		22272
320		23682
340		24933
360		26905
380		28721
400		30256
420		32009
440		34264
460		36329
480		38301
500		39555
520		41716
540		45315
560		49072
580		54083
600		59999
