Vernier Format 2
run4.1.txt 10/25/2020 12:20:29
Run 1
Time		CO2
T		C
s		ppm

0		261
20		1451
40		2516
60		3550
80		4362
100		5146
120		5991
140		6899
160		7870
180		8904
200		9779
220		10656
240		11501
260		12283
280		13161
300		14194
320		15196
340		16167
360		17826
380		19705
400		21301
420		22930
440		24870
460		26937
480		29036
500		31258
520		33419
540		35578
560		37802
580		40117
600		42717
